T100B1,T100B10,T100B100,Omniscient,Random
0.738311675,0.738277051,0.736045136,0.737153838,0.705759719
0.73836769,0.738340426,0.736114917,0.737197373,0.705798444
0.738424992,0.738405402,0.736183096,0.737245389,0.705815409
0.738475723,0.738456777,0.736254477,0.737300766,0.705869334
0.738531741,0.738518074,0.736320094,0.73734926,0.705870786
0.738593033,0.738584329,0.736389872,0.737396951,0.705886477
0.738649852,0.738641468,0.736458853,0.737440644,0.705894164
0.738721388,0.738693323,0.73651615,0.737486896,0.70595386
0.738775808,0.738755264,0.736581931,0.73752915,0.705969706
0.738836307,0.738802801,0.736650273,0.737584524,0.705980276
0.738878879,0.738857538,0.736713972,0.737628861,0.706027485
0.738946099,0.738918678,0.736774949,0.737675597,0.706040286
0.738998913,0.738976935,0.736840889,0.737716244,0.706066529
0.739056209,0.739028631,0.736900747,0.737767301,0.706108775
0.739100224,0.739081927,0.736951802,0.737802514,0.70612142
0.739158162,0.7391269,0.73702158,0.737837564,0.70615231
0.739218181,0.739210127,0.737090722,0.737881576,0.706188958
0.739281397,0.739293192,0.737148657,0.737932793,0.706205927
0.739331653,0.739372096,0.737206433,0.737984808,0.706211695
0.739381273,0.739438838,0.737259889,0.738024981,0.706243706
0.739445611,0.739500455,0.737316065,0.738067712,0.70628467
0.739507223,0.739560952,0.737372725,0.738116365,0.706295394
0.73955396,0.739633612,0.737430022,0.738162615,0.706310591
0.739599575,0.739699869,0.737489081,0.738200704,0.706334284
0.739665829,0.739763402,0.73754558,0.738249999,0.70636997
0.739718968,0.739820217,0.737606882,0.738295771,0.706413022
0.739773545,0.739870633,0.737666736,0.738336263,0.706433669
0.739830046,0.739914487,0.737722591,0.738390356,0.706464076
0.739877258,0.739955619,0.737792849,0.738443651,0.706469203
0.739919831,0.739998515,0.737851426,0.738491348,0.706501525
0.739958243,0.740046047,0.737912563,0.738529597,0.70652377
0.740006576,0.74008398,0.737966819,0.738573448,0.706578345
0.740067069,0.740121116,0.738017872,0.738620021,0.706580107
0.740139886,0.74014833,0.738072448,0.738669796,0.7066286
0.740174138,0.740202744,0.738124783,0.738715408,0.706669569
0.740229351,0.740251879,0.7381864,0.738752539,0.706685887
0.740286647,0.740293333,0.738234892,0.738801678,0.70672318
0.740343786,0.740330463,0.738286908,0.73885017,0.706747027
0.740391639,0.740389679,0.738343885,0.738889549,0.706778076
0.740446691,0.740435934,0.738401661,0.738935481,0.706802721
0.740480783,0.740489233,0.738460238,0.738985733,0.70680976
0.740535037,0.740548609,0.738515774,0.739026386,0.706841442
0.740594573,0.740600785,0.73857675,0.739068001,0.70686849
0.740648675,0.74065344,0.738629564,0.739101929,0.706894255
0.740697648,0.740690411,0.7386795,0.739144979,0.706914262
0.740755418,0.740738745,0.738726877,0.739188672,0.706986603
0.740807754,0.740799718,0.738785775,0.739218284,0.707024373
0.740857052,0.740849171,0.73884467,0.7392663,0.707034772
0.740915947,0.740897182,0.738900206,0.73930103,0.707069183
0.740978042,0.740947913,0.738949343,0.739344885,0.707057027
0.741028772,0.740989677,0.73900792,0.739380575,0.707076875
0.741092627,0.741039925,0.739058657,0.739418188,0.707139296
0.741139515,0.74109114,0.739105552,0.739457077,0.707158019
0.741196814,0.741135628,0.739162048,0.739497409,0.707192114
0.741252666,0.741181078,0.739208462,0.739550383,0.707199482
0.741286753,0.741233246,0.739252154,0.739577911,0.70723053
0.741343408,0.741278215,0.739313931,0.73962192,0.70723054
0.74139126,0.741324623,0.739368186,0.739648167,0.707241747
0.741443434,0.741375515,0.739430282,0.7396853,0.707251341
0.741494488,0.741420487,0.739488535,0.739727391,0.707249751
0.74154506,0.741458414,0.739556874,0.739768847,0.707283681
0.741582189,0.741505946,0.739611289,0.739810783,0.70729985
0.741624281,0.741551235,0.739659623,0.739858636,0.707326102
0.741675651,0.741593326,0.7397182,0.739895127,0.707345312
0.741724787,0.741635575,0.739769091,0.739938496,0.707383407
0.741785764,0.741679106,0.739830224,0.739970825,0.707415098
0.741831696,0.741735281,0.739880158,0.740014356,0.707436381
0.741883866,0.741784736,0.739926888,0.740043485,0.707441977
0.741924197,0.741834668,0.739964819,0.740079658,0.707467269
0.741965805,0.741887319,0.740020678,0.740128634,0.707525682
0.742013816,0.741935812,0.740068846,0.740172325,0.707542972
0.742057187,0.741991025,0.740106136,0.740210894,0.707563297
0.742110001,0.742034557,0.740150464,0.740254909,0.707566979
0.742155456,0.742086893,0.74019416,0.740291881,0.707604739
0.742203148,0.742139228,0.740247615,0.740333974,0.707624425
0.742258843,0.742183399,0.740297229,0.740369344,0.70765835
0.742300775,0.74222821,0.740353243,0.740411918,0.707693234
0.74234943,0.742264061,0.740386692,0.740454807,0.707668435
0.742394083,0.742309993,0.740426861,0.740487777,0.70769612
0.742434733,0.742346325,0.74047695,0.74053067,0.707720923
0.742474104,0.742391619,0.74051296,0.740571481,0.707745085
0.742525797,0.742431949,0.740557928,0.740601411,0.707775971
0.742577013,0.742470839,0.740598575,0.74064078,0.707795336
0.742612863,0.742514693,0.740641144,0.740680308,0.707830217
0.74263863,0.742548623,0.740688515,0.740711036,0.7078331
0.742695444,0.742590076,0.740718443,0.740756485,0.707834866
0.742747464,0.742630731,0.740759574,0.740786094,0.707854075
0.742800275,0.742671703,0.740802465,0.740822582,0.707889449
0.742821082,0.742721957,0.740845994,0.74086131,0.707927216
0.742865737,0.742768528,0.740889685,0.740911086,0.70796979
0.74291423,0.742818943,0.740939132,0.740944379,0.708002436
0.74296464,0.742863114,0.740982501,0.74098791,0.708037156
0.743007208,0.742906007,0.741019466,0.741013356,0.708041791
0.74306082,0.7429481,0.741067957,0.741048888,0.708089327
0.743091714,0.742986192,0.741114044,0.741086655,0.708109813
0.743140689,0.743022522,0.741159654,0.741121542,0.708158308
0.743185981,0.743066852,0.741204621,0.741149552,0.708172077
0.743220233,0.743111024,0.741247033,0.741183801,0.708191277
0.743261523,0.743153754,0.741298883,0.741222207,0.70822553
0.743309537,0.743194404,0.741335531,0.741254218,0.708252419
0.74336555,0.743227692,0.74138146,0.741279185,0.708274664
0.743403797,0.743274109,0.741428991,0.741315997,0.708298346
0.743442529,0.743327562,0.74147188,0.741345766,0.708331319
0.743466541,0.743375255,0.741512371,0.741382578,0.708358043
0.743506389,0.743408704,0.741544539,0.741422271,0.708368449
0.743565927,0.743450955,0.741583906,0.741457164,0.708396612
0.743609458,0.743493048,0.741622315,0.741495096,0.708427347
0.743653787,0.743534022,0.741651441,0.741525343,0.708460152
0.743701,0.743573235,0.741690011,0.74155895,0.708484962
0.743745169,0.743610687,0.741728259,0.741595283,0.708494084
0.743784058,0.743651179,0.741763148,0.741634173,0.708525934
0.743839429,0.743690869,0.741801235,0.74166618,0.708591389
0.743886964,0.74372624,0.74183052,0.741703471,0.708639392
0.743945061,0.743758568,0.741865407,0.741740922,0.708652031
